,address,channelTitle,videoTitle,o que ,quem,quando,onde,como,por que
0,https://www.youtube.com/watch?v=oGJtwY8nNno,Ciencia de Verdade,534 - Avaliando o Q.I. do Bill Gates!,Plandemia,Bill Gates; João Doria; 99% dos cientistas,,Mundial,"vacina, coronavírus",eugenia
1,https://www.youtube.com/watch?v=9c7dCNvePfw,Jaime Bruning,QUE VIAGEM INCRÍVEL ESTAMOS FAZENDO,Nova Ordem Mundial,pessoas más/inimigos da nação/espíritos infernais; políticos que implementaram o isolamento; China; parte da imprensa,,Mundial,coronavírus/vírus estrangeiro,estabelecer um único governo global (Nova Ordem Mundial); eliminar a liberdade humana; vantagens políticas e econômicas; eliminar a raça humana; dominação mundial; redução populacional (por não permitir o uso da cloroquina)
2,https://www.youtube.com/watch?v=y0GLoDP54lA,Pátria Evangélica de Deus,B.O.M.B.@- VEJAM QUAIS SERIAM OS PL@NOS DO SR. M@NDETT@ PARA O B.R.A.S.!.L- FIQUEM ATENTOS!,Nova Ordem Mundial,"Luiz Henrique Mandetta; Ministério da Saúde brasileiro, maçonaria; China; G20",,Mundial,Projeto Genoma; testagem coronavírus (DNA - banco de dados mundial da besta); vacina/marca; agenda internacional,perseguir grupos; implementar um sistema de saúde internacional; implementar a Nova Ordem Mundial
3,https://www.youtube.com/watch?v=EoRAsJUaY_s,Cidadão-X,Camada de Ozônio no seu Buraco,Big Pharma ,indústria farmacêutica,,Mundial,fabricação/potencialização/modificação genética de doenças,"vender tratamentos (""porque se vendesse a cura, diminuiria o lucro"") e lucrar"
4,https://www.youtube.com/watch?v=w3OWAwt_6uY,Cidadão-X,Caixões Vazios e Mentes Possuídas,Nova Ordem Mundial,,,Mundial,colapso do sistema; pânico; agenda da Nova Ordem Mundial,redução populacional; intervenção através de lei marcial
5,https://www.youtube.com/watch?v=4Rsp-uPsDYA,Ciencia de Verdade,526 - João Dória e o Carnaval Contagiante de São Paulo,Plandemia,João Doria; imprensa; Wilson Witzel; cientistas (mainstream em relação à Covid-19); biólogos evolucionistas de YouTube; OMS,,Mundial,lockdown,"destruição de empregos, empresas e famílias"
6,https://www.youtube.com/watch?v=pO_38VrTxfk,Firmeza da Verdade,OS ROB0S DE H|DR0GEL da D.A.R.P.A.,Nova Ordem Mundial,eles; DARPA; elite; Google; governos,,Mundial,robôs de hidrogel; inteligência artificial; chip; vacina,"transformação de humanos em ciborgues; controlar a humanidade; eliminar a humanidade; dominação mundial; extinção dos conceitos de amor ao próximo, família e fé no senhor"
7,https://www.youtube.com/watch?v=0VNjjXRgAjw,verdadeoculta,💉 A Gray State Hoje,Nova Ordem Mundial,elite global/donos da economia mundial/sistema; illuminati; imprensa/mídia; governadores que implementaram lockdown/Estado; cientistas; Bill Gates; Instituto Butantan; ONU; servos de satanás/agentes do demônio; Greta Thunberg; Fórum Econômico Mundial,até 2030,Mundial,agenda global; leis (lockdown); multas; máscara; terror psicológico da tv;  solução/cura (vacina); caos social; vazamento de dados de pacientes; associação entre mudanças climáticas e pandemia (que é positiva por estar modificando a dinâmica da sociedade); armas biológicas; inteligência artificial; lei marcial/leis repressivas; algoritmos,redução populacional; domínio mundial; revolução 4.0; controle midiático; guerras
8,https://www.youtube.com/watch?v=XWrhxClJK_8,nutrição Alimentos & Cia,Acido Láurico ÓLEO DE COCO e Vírus envelopados.,Big Pharma ,indústria farmacêutica; cientistas que não sejam independentes; departamentos reguladores de pesquisas (exigem estudos com muitas fases),agora,Mundial,"ignorando potenciais curas para a Covid-19, como o óleo de côco",impossibilidade de patentes e de lucro a partir de produtos naturais e de terapias complementares
9,https://www.youtube.com/watch?v=74oZwKtA1-E,Rômulo Maraschin,"Afinal, O QUE estão dando para as pessoas COMEREM?",Nova Ordem Mundial,sistema; indústria; mídia; YouTube; eles,,Mundial,reengenharia social; modificação genética; coronavírus,fim da humanidade
10,https://www.youtube.com/watch?v=3HwkKSjYt8c,verdadeoculta,Palmas para o bill gates que ele merece,Nova Ordem Mundial,Bill Gates; Bolsonaro,,Mundial,testes (identificação); coronavírus; leis,eugenia; controle
11,https://www.youtube.com/watch?v=nGE4ZXOkGRk,Ciencia de Verdade,525 - 12 Cientistas contra a Quarentena,Plandemia,"cientistas mainstream em relação à Covid-19; cientistas evolucionistas darwinistas (""os mesmos que aconselharam Hitler""); imprensa/mídia/televisão; Pirula, Átila Iamarino; Dráuzio e Mariana Varella; João Doria; Wilson Witzel; indústria farmacêutica",,Mundial,lockdown; coronavírus/vírus chinês; medidas governamentais de combate à Covid-19,destruição da economia; fome; lucro; mortes
12,https://www.youtube.com/watch?v=zVUYXED63rU,Verdade Mundial,AO VIVO 📍 A VERDADE OCULTA CHEGOU! E AGORA?,Nova Ordem Mundial,13 famílias por trás da NOM; mídia/imprensa/jornal/tv; eles; elites mundiais/donos do mundo; empresas; presidentes/governos; velho da Havan; indústria farmacêutica; bancos; YouTube,longo tempo,Mundial,transgênicos; 5G; coronavírus,lucro
