,address,channelTitle,videoTitle
0,https://www.youtube.com/watch?v=oGJtwY8nNno,Ciencia de Verdade,534 - Avaliando o Q.I. do Bill Gates!
1,https://www.youtube.com/watch?v=9c7dCNvePfw,Jaime Bruning,QUE VIAGEM INCRÍVEL ESTAMOS FAZENDO
2,https://www.youtube.com/watch?v=y0GLoDP54lA,Pátria Evangélica de Deus,B.O.M.B.@- VEJAM QUAIS SERIAM OS PL@NOS DO SR. M@NDETT@ PARA O B.R.A.S.!.L- FIQUEM ATENTOS!
3,https://www.youtube.com/watch?v=EoRAsJUaY_s,Cidadão-X,Camada de Ozônio no seu Buraco
4,https://www.youtube.com/watch?v=w3OWAwt_6uY,Cidadão-X,Caixões Vazios e Mentes Possuídas
5,https://www.youtube.com/watch?v=4Rsp-uPsDYA,Ciencia de Verdade,526 - João Dória e o Carnaval Contagiante de São Paulo
6,https://www.youtube.com/watch?v=pO_38VrTxfk,Firmeza da Verdade,OS ROB0S DE H|DR0GEL da D.A.R.P.A.
7,https://www.youtube.com/watch?v=0VNjjXRgAjw,verdadeoculta,💉 A Gray State Hoje
8,https://www.youtube.com/watch?v=XWrhxClJK_8,nutrição Alimentos & Cia,Acido Láurico ÓLEO DE COCO e Vírus envelopados.
9,https://www.youtube.com/watch?v=74oZwKtA1-E,Rômulo Maraschin,"Afinal, O QUE estão dando para as pessoas COMEREM?"
10,https://www.youtube.com/watch?v=3HwkKSjYt8c,verdadeoculta,Palmas para o bill gates que ele merece
11,https://www.youtube.com/watch?v=nGE4ZXOkGRk,Ciencia de Verdade,525 - 12 Cientistas contra a Quarentena
12,https://www.youtube.com/watch?v=zVUYXED63rU,Verdade Mundial,AO VIVO 📍 A VERDADE OCULTA CHEGOU! E AGORA?
13,https://www.youtube.com/watch?v=fyOpRL3Uw4k,verdadeoculta,💉 Não dá pra fechar os olhos para o que vai acontecer em seguida
14,https://www.youtube.com/watch?v=i_gi5h5IaP0,Firmeza da Verdade,PROTOCOLOS DE COMO PERMANECER EM CASA
15,https://www.youtube.com/watch?v=WXwDmGnQMyE,Hidrogenio Global,#PARTE2 - O REI OCULTO DA INGLATERRA E A FAMÍLIA REAL SEMPRE FOI UMA FARSA DA ROYAL FAMILY DA RUSSIA
16,https://www.youtube.com/watch?v=WvCKonGhi_A,Firmeza da Verdade,"DE 11 à 18 de OUTUBRO de 2020: Papa, Vaticano e a Nova Religião Mundial"
17,https://www.youtube.com/watch?v=ldjsCoCHZdc,Minha Saúde - Curas Naturais,Será que você está com deficiência dessas vitaminas? Dr. Lair Ribeiro
